1262775,"Kerrostalo | 2-3h, kt, kph, parveke","Ali-Huikkaantie 13a B 41, Huikas, Tampere",221 900 €,58 m²,2021
681726,"Omakotitalo | 5h, k, s, 2xwc, kph, takkah.khh, pukuhuone","Huhtasenkatu 62, Kalkku, Tampere",229 000 €,113 m²,1955
20182645,Kerrostalo | 3h + k + s + lasitettu parveke,"Lielahdenkatu 43, Lentävänniemi, Tampere",149 000 €,"70,5 m²",1979
p34274,Rivitalo | 3 h + k + s,"Ilokkaankatu 6, Koivistonkylä, Tampere",262 700 €,71 m²,2020
9864597,"Kerrostalo | 2h, k, kph / wc, vh, parv.","Hämeenpuisto 17-19, Keskusta, Tampere",239 000 €,"52,5 m²",1962
20032916,"Paritalo | 3h, k, s, ph, khh, wc, ak, var","Persiljakatu 11, Levonmäki, Kaukajärvi Tampere",195 000 €,75 m²,2002
7943477,"Kerrostalo | 3h + avok + S.os, Lasitettu parveke","Tieteenkatu 6 A, Hervanta, Tampere",245 000 €,"64,5 m²",2014
9843481,"Kerrostalo | 4h, k, kph, s, wc, vh, lasit.p","Kuormaajankatu 2, Janka, Tampere",199 000 €,"95,5 m²",1993
9810632,"Kerrostalo | 4h, k","Käräjätörmä 2, Tesoma, / Tohloppi Tampere",119 000 €,87 m²,1969
7944817,Kerrostalo | 1 h + k + sauna + ph,"Vihilahdenkatu 4 B, Hatanpää, Tampere",139 500 €,39 m²,1997
7944004,"Luhtitalo | 2h, k, wc, s, kph","Koljonseläntie 7, Maisansalo, Tampere",18 000 €,56 m²,1975
20191552,"Paritalo | 4h, k, kph, s, kph / wc, erill. wc, vh, p, terassi,","Hupakankorvenkatu 3, Vuores, Tampere",299 000 €,96 m²,2017
20190651,Kerrostalo | 1h + k + alkovi,"Pirkankatu 16, Pyynikki, Tampere",242 000 €,55 m²,1928
20040942,"Omakotitalo | 5h, k, rt, s-os, 2wc, p, terassi ja ak / var","Vallikatu 13, Ylä-Pispala, Tampere",649 000 €,116 m²,2001
9622690,"Kerrostalo | 3h, k, kph / wc, vh, las.parveke","Pähkinäkuja 1, Peltolammi, Tampere",112 000 €,68 m²,1968
7943481,Kerrostalo | 3h + k + kph / wc,"Tuomiokirkonkatu 3 B, Juhannuskylä, Tampere",364 000 €,75 m²,1910
9496686,"Omakotitalo | 5h, k, s, ph, khh, aula, 2x wc, 2x vh, parveke, te","Kalkkikivikatu 5, Hirvikallio, Tampere",385 000 €,154 m²,2012
7880010,Kerrostalo | 2h + kt + (ks),"Tarmonkuja 4 As 5, Härmälä, Tampere",189 288 €,"47,5 m²",2020
m77992,Kerrostalo | 2h + kt + s,"Niilo Härmälän katu 13 A 62, Härmälänranta, Tampere",281 600 €,"62,5 m²",2021
p29882,Kerrostalo | 3h + kt + s,"Fontellinpolku 7 A 27, Härmälänranta, Tampere",356 200 €,78 m²,2022
p29826,Kerrostalo | 3h + kt + s,"Fontellinpolku 7 A 26, Härmälänranta, Tampere",343 500 €,"69,5 m²",2022
n49284,Kerrostalo | 3H + KT + S,"Ranta-Tampellan katu 12 A 14, 109, Tampere",442 900 €,"74,5 m²",2021
n49297,Kerrostalo | 3H + KT + S,"Ranta-Tampellan katu 12 A 24, 109, Tampere",409 000 €,"61,5 m²",2021
m77993,Kerrostalo | 4h + kt + s,"Niilo Härmälän katu 13 A 63, Härmälänranta, Tampere",399 900 €,"85,5 m²",2021
675911,Kerrostalo | 4h + k + 2wc + s + lasitettu parveke,"Käräjätörmä 2 A, Tohloppi, Tampere",134 000 €,87 m²,1969
675759,"Kerrostalo | 3h, k, vh","Irjalankatu 52 K, Irjala, Tampere",140 000 €,"73,5 m²",1982
681910,"Paritalo | 5h, k, s","Niittäjäntie 6 D, Ikuri, Tampere",348 000 €,110 m²,2021
681906,"Paritalo | 5h, k, s","Niittäjäntie 6 D, Ikuri, Tampere",348 000 €,110 m²,2021
